2024-11-27 11:18:53.064 INFO  [background-preinit] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-11-27 11:18:53.129 INFO  [main] org.example.cpsApplication - Starting cpsApplication using Java 17.0.7 with PID 9984 (C:\Users\Taoer\Desktop\vue3_admin\快递\springboot_cps\target\classes started by Taoer in C:\Users\Taoer\Desktop\vue3_admin\快递\springboot_cps)
2024-11-27 11:18:53.131 INFO  [main] org.example.cpsApplication - No active profile set, falling back to 1 default profile: "default"
2024-11-27 11:18:54.413 INFO  [main] o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-11-27 11:18:54.417 INFO  [main] o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-11-27 11:18:54.490 INFO  [main] o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 34 ms. Found 0 Redis repository interfaces.
2024-11-27 11:18:55.571 INFO  [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-11-27 11:18:55.585 INFO  [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-11-27 11:18:55.588 INFO  [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-11-27 11:18:55.588 INFO  [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2024-11-27 11:18:55.796 INFO  [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-11-27 11:18:55.797 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2602 ms
2024-11-27 11:18:56.976 INFO  [main] org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2024-11-27 11:18:57.062 INFO  [main] o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2024-11-27 11:21:15.794 INFO  [background-preinit] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-11-27 11:21:15.859 INFO  [main] org.example.cpsApplication - Starting cpsApplication using Java 17.0.7 with PID 11864 (C:\Users\Taoer\Desktop\vue3_admin\快递\springboot_cps\target\classes started by Taoer in C:\Users\Taoer\Desktop\vue3_admin\快递\springboot_cps)
2024-11-27 11:21:15.860 INFO  [main] org.example.cpsApplication - No active profile set, falling back to 1 default profile: "default"
2024-11-27 11:21:17.681 INFO  [main] o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-11-27 11:21:17.687 INFO  [main] o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-11-27 11:21:17.787 INFO  [main] o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 60 ms. Found 0 Redis repository interfaces.
2024-11-27 11:21:19.302 INFO  [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-11-27 11:21:19.319 INFO  [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-11-27 11:21:19.324 INFO  [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-11-27 11:21:19.325 INFO  [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2024-11-27 11:21:19.578 INFO  [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-11-27 11:21:19.579 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3649 ms
2024-11-27 11:21:21.688 INFO  [scheduled_update_cert_thread] c.w.p.c.apache.httpclient.cert.CertificatesManager - Begin update Certificates.Date:2024-11-27T03:21:21.688477900Z
2024-11-27 11:21:21.939 INFO  [scheduled_update_cert_thread] c.w.p.c.apache.httpclient.cert.CertificatesManager - Finish update Certificates.Date:2024-11-27T03:21:21.939815Z
2024-11-27 11:21:22.646 INFO  [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-11-27 11:21:22.686 INFO  [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-11-27 11:21:22.702 INFO  [main] org.example.cpsApplication - Started cpsApplication in 7.742 seconds (process running for 8.977)
2024-11-27 11:24:23.126 INFO  [background-preinit] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-11-27 11:24:23.185 INFO  [main] org.example.cpsApplication - Starting cpsApplication using Java 17.0.7 with PID 17904 (C:\Users\Taoer\Desktop\vue3_admin\快递\springboot_cps\target\classes started by Taoer in C:\Users\Taoer\Desktop\vue3_admin\快递\springboot_cps)
